attack_type,syscall_id,frequency
Meterpreter,3,7435
Meterpreter,142,1413
Meterpreter,19,922
Meterpreter,146,776
Meterpreter,43,676
Meterpreter,175,649
Meterpreter,195,638
Meterpreter,78,483
Meterpreter,5,416
Meterpreter,104,342
Meterpreter,174,327
Meterpreter,192,300
Meterpreter,6,269
Meterpreter,102,225
Meterpreter,197,150
Meterpreter,91,146
Meterpreter,119,135
Meterpreter,33,127
Meterpreter,125,103
Meterpreter,340,66
Meterpreter,54,41
Meterpreter,45,40
Meterpreter,4,37
Meterpreter,240,27
Meterpreter,13,24
Meterpreter,292,19
Meterpreter,191,11
Meterpreter,11,10
Meterpreter,57,10
Meterpreter,120,10
Meterpreter,122,10
Meterpreter,243,10
Meterpreter,7,9
Meterpreter,258,9
Meterpreter,311,9
Meterpreter,196,7
Meterpreter,268,7
Meterpreter,162,5
Meterpreter,220,5
Meterpreter,85,3
Meterpreter,140,3
Meterpreter,141,3
Meterpreter,42,2
Meterpreter,219,2
Meterpreter,221,2
Meterpreter,12,1
Meterpreter,132,1
Meterpreter,307,1
Web_Shell,168,21288
Web_Shell,265,10960
Web_Shell,3,9905
Web_Shell,142,1968
Web_Shell,5,1424
Web_Shell,102,1061
Web_Shell,43,999
Web_Shell,146,896
Web_Shell,195,774
Web_Shell,78,773
Web_Shell,301,756
Web_Shell,19,681
Web_Shell,104,637
Web_Shell,4,611
Web_Shell,91,598
Web_Shell,13,574
Web_Shell,6,549
Web_Shell,54,375
Web_Shell,175,357
Web_Shell,240,338
Web_Shell,192,328
Web_Shell,33,309
Web_Shell,197,233
Web_Shell,196,190
Web_Shell,174,168
Web_Shell,7,167
Web_Shell,45,130
Web_Shell,309,124
Web_Shell,340,120
Web_Shell,220,83
Web_Shell,221,63
Web_Shell,162,51
Web_Shell,125,43
Web_Shell,140,42
Web_Shell,12,33
Web_Shell,119,33
Web_Shell,300,33
Web_Shell,60,32
Web_Shell,163,31
Web_Shell,292,31
Web_Shell,122,26
Web_Shell,183,26
Web_Shell,295,18
Web_Shell,268,15
Web_Shell,141,14
Web_Shell,120,13
Web_Shell,331,13
Web_Shell,11,5
Web_Shell,57,5
Web_Shell,243,5
Web_Shell,191,4
Web_Shell,258,4
Web_Shell,311,4
Web_Shell,10,1
Web_Shell,156,1
Web_Shell,205,1
